originator_id,message_id,raw_text
orig_001,bank_0001,Use code 909090 to complete your login at https://secure.bank.example.com Thanks.
orig_001,bank_0002,One-time password 654321 for your account. Never share this code.
orig_001,bank_0003,"Hi, Use code 909090 to complete your login at http://secure.bank.example.com Thanks."
orig_001,bank_0004,"Dear customer, Security code 778899 to confirm your transaction at bank.example.com"
orig_001,bank_0005,Your OTP is 123456. Do not share. visit https://bank.example.com/login
orig_001,bank_0006,"Hello, Your OTP is 123456. Do not share. Visit http://bank.example.com/login Thanks."
orig_001,bank_0007,Use code 909090 to complete your login at https://secure.bank.example.com Thanks.
orig_001,bank_0008,OTP 442211 valid for 10 minutes. Use it to sign in.
orig_001,bank_0009,"Dear customer, Security code 778899 to confirm your transaction at bank.example.com"
orig_001,bank_0010,"Hello, Your OTP is 123456. Do not share. Visit http://bank.example.com/login Thanks."
orig_001,bank_0011,One-time password 654321 for your account. Never share this code.
orig_001,bank_0012,OTP 442211 valid for 10 minutes. Use it to sign in.
orig_001,bank_0013,"Hi, Your OTP is 123456. Do not share. Visit https://bank.example.com/login Thanks."
orig_001,bank_0014,"Hi, Your OTP is 123456. Do not share. Visit https://bank.example.com/login Thanks."
orig_001,bank_0015,Use code 909090 to complete your login at https://secure.bank.example.com Thanks.
orig_001,bank_0016,"Hi, Your OTP is 123456. Do not share. Visit https://bank.example.com/login Thanks."
orig_001,bank_0017,OTP 442211 valid for 10 minutes. Use it to sign in.
orig_001,bank_0018,OTP 442211 valid for 10 minutes. Use it to sign in.
orig_001,bank_0019,"Dear customer, Security code 778899 to confirm your transaction at bank.example.com"
orig_001,bank_0020,Your OTP is 123456. Do not share. visit https://bank.example.com/login
orig_001,bank_0021,"Hi, Use code 909090 to complete your login at http://secure.bank.example.com Thanks."
orig_001,bank_0022,"Hi, Your OTP is 123456. Do not share. Visit https://bank.example.com/login Thanks."
orig_001,bank_0023,Use code 909090 to complete your login at https://secure.bank.example.com Thanks.
orig_001,bank_0024,"Hi, Your OTP is 123456. Do not share. Visit https://bank.example.com/login Thanks."
orig_001,bank_0025,"Dear customer, Security code 778899 to confirm your transaction at bank.example.com"
orig_001,bank_0026,OTP 442211 valid for 10 minutes. Use it to sign in.
orig_001,bank_0027,One-time password 654321 for your account. Never share this code.
orig_001,bank_0028,"Hi, Your OTP is 123456. Do not share. Visit https://bank.example.com/login Thanks."
orig_001,bank_0029,Your OTP is 123456. Do not share. visit https://bank.example.com/login
orig_001,bank_0030,One-time password 654321 for your account. Never share this code.
orig_001,bank_0031,"Dear customer, Security code 778899 to confirm your transaction at bank.example.com"
orig_001,bank_0032,"Hi, Your OTP is 123456. Do not share. Visit https://bank.example.com/login Thanks."
orig_001,bank_0033,One-time password 654321 for your account. Never share this code.
orig_001,bank_0034,"Hi, Your OTP is 123456. Do not share. Visit https://bank.example.com/login Thanks."
orig_001,bank_0035,Use code 909090 to complete your login at https://secure.bank.example.com Thanks.
orig_001,bank_0036,"Dear customer, Security code 778899 to confirm your transaction at bank.example.com"
orig_001,bank_0037,"Hi, Use code 909090 to complete your login at http://secure.bank.example.com Thanks."
orig_001,bank_0038,OTP 442211 valid for 10 minutes. Use it to sign in.
orig_001,bank_0039,"Hello, Your OTP is 123456. Do not share. Visit http://bank.example.com/login Thanks."
orig_001,bank_0040,OTP 442211 valid for 10 minutes. Use it to sign in.
orig_001,delivery_0041,Shipment scheduled. track progress at http://status.shipco.com/track Thanks.
orig_001,delivery_0042,"Dear customer, Order on the way!! Change delivery window in your portal Thank you."
orig_001,delivery_0043,Parcel out for delivery. Reschedule at www.shipco.com/reschedule Thanks.
orig_001,delivery_0044,Shipment scheduled. track progress at http://status.shipco.com/track Thanks.
orig_001,delivery_0045,"Dear customer, Order on the way!! Change delivery window in your portal Thank you."
orig_001,delivery_0046,"Hi, Your package is arriving tmrw. Track at https://track.shipco.com Thanks."
orig_001,delivery_0047,"Hi, Delivery update: courier will attempt delivery tdy 2–4pm Thank you."
orig_001,delivery_0048,"Hi, Your package is arriving tmrw. Track at https://track.shipco.com Thanks."
orig_001,delivery_0049,"Hello, Your package is arriving tomorrow. Track at http://track.shipco.com"
orig_001,delivery_0050,Order on the way! Change delivery window in your portal Thank you.
orig_001,delivery_0051,Order on the way! Change delivery window in your portal Thank you.
orig_001,delivery_0052,"Hi, Delivery update: courier will attempt delivery tdy 2–4pm Thank you."
orig_001,delivery_0053,"Hello, Shipment scheduled. Track progress at http://status.shipco.com/track Thanks."
orig_001,delivery_0054,Parcel out for delivery. Reschedule at www.shipco.com/reschedule Thanks.
orig_001,delivery_0055,"Hello, Shipment scheduled. Track progress at http://status.shipco.com/track Thanks."
orig_001,delivery_0056,Parcel out for delivery. Reschedule at www.shipco.com/reschedule Thanks.
orig_001,delivery_0057,"Dear customer, Delivery update: courier will attempt delivery today 2–4pm Thank you."
orig_001,delivery_0058,"Hello, Your package is arriving tomorrow. Track at http://track.shipco.com"
orig_001,delivery_0059,"Hi, Your package is arriving tmrw. Track at https://track.shipco.com Thanks."
orig_001,delivery_0060,Order on the way! Change delivery window in your portal Thank you.
